Lap,LapTimeNumeric,LapTimeFormatted,TopSpeed,FuelTank,FuelUsed,TrackTemp,WaterTemp,OilTemp
0,39.936,39.936,285.89,68.39,1.46,26.11,76.33,75.1
1,30.451,30.451,291.4,67.08,1.32,26.11,79.23,80.17
2,30.301,30.301,298.17,65.76,1.31,26.11,80.3,82.92
3,30.93,30.930,290.12,64.56,1.21,26.11,76.53,82.01
4,56.249,56.249,251.53,63.97,0.59,26.11,60.62,67.39
5,99.372,1:39.372,104.19,63.55,0.41,26.11,49.79,56.72
6,97.967,1:37.967,155.03,62.84,0.71,26.11,52.96,58.39
7,35.112,35.112,283.17,61.36,1.48,26.11,72.82,70.96
8,30.526,30.526,294.07,60.04,1.32,26.11,78.19,78.38
9,30.143,30.143,299.53,58.73,1.31,26.11,80.25,82.88
10,30.427,30.427,296.97,57.42,1.31,26.11,80.77,84.12
11,30.555,30.555,292.68,56.1,1.32,26.11,80.87,84.24
12,30.433,30.433,295.95,54.78,1.32,26.67,81.62,85.28
13,30.125,30.125,299.42,53.48,1.3,26.67,94.59,97.51
14,30.256,30.256,297.41,52.25,1.24,26.67,92.21,98.69
15,30.584,30.584,294.61,50.93,1.32,26.67,85.07,91.0
16,30.651,30.651,293.24,49.6,1.32,26.67,82.37,87.57
17,30.544,30.544,291.0,48.32,1.29,26.67,79.97,85.93
18,61.921,1:1.921,279.7,47.92,0.39,26.67,56.45,68.61
19,102.152,1:42.152,175.62,47.09,0.84,26.11,51.72,62.31
20,93.241,1:33.241,166.96,46.28,0.81,26.11,54.57,63.45
21,58.652,58.652,276.98,45.07,1.21,26.11,70.6,79.55
22,-1.0,-1.000,243.25,43.83,1.24,26.11,72.49,86.59
23,-1.0,-1.000,251.92,42.19,1.65,26.11,88.68,92.49
24,-1.0,-1.000,264.99,41.14,1.04,26.11,80.66,89.86
25,141.192,2:21.192,260.07,39.42,1.73,26.11,94.08,93.99
26,33.704,33.704,269.01,38.01,1.4,26.11,98.08,92.57
27,33.2,33.200,269.47,36.62,1.39,26.11,99.8,92.34
28,46.941,46.941,273.23,35.3,1.32,26.11,97.27,92.84
29,37.015,37.015,265.01,33.76,1.55,26.11,100.64,94.09
30,53.652,53.652,267.03,33.01,0.74,26.11,82.39,84.09
31,108.743,1:48.743,260.7,31.35,1.66,26.11,94.73,87.99
32,33.537,33.537,268.06,29.95,1.4,26.11,98.37,89.61
33,34.685,34.685,268.46,28.75,1.2,26.11,94.48,86.79
34,34.482,34.482,268.38,27.35,1.4,26.11,97.95,87.81
35,47.963,47.963,264.93,26.6,0.75,26.11,83.25,82.52
36,113.021,1:53.21,259.88,24.93,1.67,26.11,95.04,88.17
37,65.872,1:5.872,261.7,23.99,0.94,26.11,86.66,86.14
38,34.398,34.398,287.09,22.59,1.41,26.11,97.28,93.97
39,30.441,30.441,291.94,21.38,1.2,26.11,95.23,98.95
