Lap,LapTimeNumeric,LapTimeFormatted,TopSpeed,Session,FuelTank,FuelUsed,TrackTemp,WaterTemp,OilTemp
0,0.0,0.000,278.3,PRACTICE,69.18,-69.18,26.11,82.72,77.87
1,0.0,0.000,283.45,QUALIFY,69.24,-0.06,25.56,81.83,71.47
2,32.246,32.246,281.5,QUALIFY,67.87,1.37,25.56,81.78,76.11
3,31.373,31.373,283.32,QUALIFY,66.53,1.34,25.56,81.67,78.64
4,0.0,0.000,279.92,RACE,69.76,-3.23,26.11,65.05,70.51
5,40.295,40.295,281.13,RACE,68.3,1.46,26.11,76.91,75.9
6,30.785,30.785,290.07,RACE,66.97,1.33,26.11,79.54,80.06
7,30.355,30.355,293.9,RACE,65.66,1.31,26.11,80.31,82.69
8,30.375,30.375,294.63,RACE,64.34,1.31,26.11,80.63,83.81
9,30.664,30.664,289.21,RACE,63.02,1.32,26.67,81.27,84.19
10,30.431,30.431,294.78,RACE,61.71,1.32,26.67,81.11,84.69
11,30.342,30.342,295.18,RACE,60.39,1.31,26.67,80.84,85.14
12,30.281,30.281,296.01,RACE,59.08,1.31,26.67,80.73,85.43
13,30.4,30.400,293.95,RACE,57.76,1.31,26.67,80.82,85.23
14,30.523,30.523,293.84,RACE,56.44,1.32,26.67,80.93,85.03
15,30.35,30.350,297.16,RACE,55.13,1.31,26.67,80.88,85.22
16,30.342,30.342,295.84,RACE,53.82,1.31,27.22,80.93,85.36
17,30.491,30.491,295.48,RACE,52.5,1.32,27.22,80.97,85.03
18,30.484,30.484,296.38,RACE,51.18,1.32,27.22,80.96,84.99
19,30.535,30.535,293.84,RACE,49.86,1.32,27.22,81.03,84.78
20,30.786,30.786,289.48,RACE,48.53,1.33,27.22,81.3,84.28
21,30.597,30.597,293.96,RACE,47.21,1.32,27.22,81.17,84.42
22,30.571,30.571,294.63,RACE,45.89,1.32,27.22,81.11,84.56
23,30.609,30.609,294.23,RACE,44.57,1.32,27.22,81.13,84.5
24,30.784,30.784,290.05,RACE,43.25,1.33,27.22,81.49,84.28
25,30.611,30.611,294.12,RACE,41.93,1.32,27.22,81.35,84.52
26,30.674,30.674,294.45,RACE,40.63,1.29,27.22,80.16,84.07
27,57.786,57.786,273.68,RACE,40.33,0.3,27.22,56.64,65.79
28,96.407,1:36.407,194.42,RACE,39.52,0.81,26.67,55.21,59.34
29,96.355,1:36.355,165.09,RACE,38.73,0.8,26.11,55.96,61.83
30,35.0,35.000,288.05,RACE,37.28,1.44,26.11,75.87,75.13
31,30.427,30.427,298.69,RACE,36.05,1.24,26.11,82.33,86.22
32,44.056,44.056,289.91,RACE,34.91,1.14,26.11,82.64,92.83
33,46.596,46.596,267.45,RACE,33.98,0.93,25.56,76.76,86.68
34,127.99,2:7.99,262.79,RACE,32.36,1.62,25.56,91.27,90.62
35,66.204,1:6.204,266.35,RACE,31.45,0.91,26.11,80.85,85.15
36,33.963,33.963,290.62,RACE,30.03,1.42,26.11,94.94,95.26
37,30.591,30.591,296.52,RACE,28.81,1.22,26.11,98.08,101.86
38,30.729,30.729,297.23,RACE,26.29,2.52,26.11,102.45,109.65
39,30.593,30.593,293.86,RACE,25.0,1.29,26.11,103.41,111.1
40,30.44,30.440,294.95,RACE,23.67,1.32,26.11,104.31,112.17
41,30.372,30.372,297.94,RACE,22.35,1.32,26.11,105.35,113.57
42,30.363,30.363,296.32,RACE,21.03,1.32,26.67,106.01,114.69
43,31.518,31.518,296.14,RACE,19.83,1.2,26.67,100.86,115.4
