Lap,LapTimeNumeric,LapTimeFormatted,TopSpeed,Session,FuelTank,FuelUsed,TrackTemp,WaterTemp,OilTemp
0,58.209,58.209,322.52,RACE,67.17,2.1,25.0,79.24,75.87
1,47.67,47.670,339.66,RACE,65.12,2.05,25.0,85.66,84.67
2,47.732,47.732,332.52,RACE,63.09,2.03,25.0,90.19,88.36
3,47.001,47.001,333.62,RACE,61.01,2.08,25.56,90.5,90.35
4,47.213,47.213,335.34,RACE,58.86,2.15,25.56,86.92,87.38
5,46.289,46.289,342.1,RACE,56.74,2.12,25.56,85.82,87.9
6,45.882,45.882,344.37,RACE,54.72,2.02,25.56,84.03,89.47
7,47.419,47.419,339.79,RACE,52.77,1.95,25.56,84.71,90.6
8,47.015,47.015,335.44,RACE,50.87,1.9,25.56,84.79,91.73
9,47.139,47.139,336.62,RACE,48.74,2.13,25.56,86.49,89.41
10,46.637,46.637,337.35,RACE,46.61,2.13,25.56,85.72,87.84
11,46.959,46.959,339.5,RACE,44.47,2.14,25.56,85.9,86.38
12,47.317,47.317,334.73,RACE,42.32,2.15,25.56,86.18,85.13
13,47.309,47.309,335.25,RACE,40.16,2.15,25.56,86.09,84.97
14,47.127,47.127,334.02,RACE,38.02,2.15,25.56,86.01,85.11
15,47.09,47.090,336.04,RACE,35.87,2.14,25.56,86.11,84.9
16,48.636,48.636,324.36,RACE,33.69,2.18,25.56,86.83,82.64
17,48.844,48.844,320.82,RACE,31.5,2.19,25.56,86.97,81.49
18,48.927,48.927,319.17,RACE,29.31,2.19,25.56,87.08,81.03
19,48.614,48.614,321.55,RACE,27.23,2.08,25.56,82.78,80.9
