Lap,LapTimeNumeric,LapTimeFormatted,TopSpeed,Session,FuelTank,FuelUsed,TrackTemp,WaterTemp,OilTemp
0,0.0,0.000,261.89,PRACTICE,50.87,-50.87,18.89,82.81,91.88
1,139.691,2:19.691,262.01,PRACTICE,46.59,4.28,18.89,84.24,99.39
2,138.712,2:18.712,261.69,PRACTICE,42.36,4.24,18.89,84.28,103.16
3,-1.0,-1.000,261.6,PRACTICE,50.83,-8.47,19.44,83.12,92.65
4,138.677,2:18.677,261.95,PRACTICE,46.54,4.28,19.44,84.62,100.1
5,0.0,0.000,262.07,QUALIFY,9.16,37.39,18.89,75.41,92.34
6,-1.0,-1.000,260.72,QUALIFY,4.9,4.26,18.89,82.56,99.02
7,138.156,2:18.156,260.69,QUALIFY,0.7,4.2,18.89,83.18,102.66
8,0.0,0.000,187.79,RACE,53.79,-53.09,18.89,67.7,86.06
9,-1.0,-1.000,259.06,RACE,49.63,4.17,18.89,80.42,98.04
10,-1.0,-1.000,263.97,RACE,45.4,4.23,18.89,84.55,103.14
11,-1.0,-1.000,264.62,RACE,41.21,4.19,18.89,83.26,105.19
12,183.276,3:3.276,258.17,RACE,50.29,-9.08,18.89,85.45,107.48
13,144.172,2:24.172,261.9,RACE,46.01,4.28,18.89,85.66,108.59
14,139.285,2:19.285,258.92,RACE,41.71,4.29,18.89,84.22,108.17
15,139.179,2:19.179,259.07,RACE,37.43,4.28,18.89,84.46,107.24
16,139.473,2:19.473,259.37,RACE,33.11,4.32,18.89,84.48,107.39
17,139.732,2:19.732,257.12,RACE,28.99,4.12,18.89,83.47,106.63
18,139.131,2:19.131,258.84,RACE,24.76,4.23,18.89,83.59,106.7
