Lap,LapTimeNumeric,LapTimeFormatted,TopSpeed,Session,FuelTank,FuelUsed,TrackTemp,WaterTemp,OilTemp
6,-1.0,-1.000,296.52,PRACTICE,71.54,3.46,20.56,94.41,86.47
7,-1.0,-1.000,299.91,PRACTICE,68.37,3.16,20.56,95.54,90.62
8,-1.0,-1.000,297.13,PRACTICE,71.6,-3.22,20.56,94.84,86.63
9,100.042,1:40.42,300.47,PRACTICE,68.35,3.25,20.56,97.8,91.11
10,97.44,1:37.44,299.93,PRACTICE,65.12,3.23,20.56,98.15,92.97
11,97.293,1:37.293,298.8,PRACTICE,61.9,3.22,20.56,97.74,93.92
12,97.561,1:37.561,299.03,PRACTICE,58.65,3.24,20.56,98.1,93.85
13,98.573,1:38.573,299.42,PRACTICE,55.42,3.24,20.56,98.22,94.12
14,-1.0,-1.000,299.17,PRACTICE,52.19,3.23,20.56,97.02,94.5
15,-1.0,-1.000,296.29,PRACTICE,49.07,3.13,20.56,96.89,94.64
