"fuel_tank","fuel_used","lap_time_numeric","oil_temp","top_speed","track_temp","water_temp","id","car","created_at","driver","lap_time_formatted","session","track","track_state_enum"
"69.61","3.14","97.23","90.08","296.72","20","96.32","6","Dallara P217 LMP2","2025-01-10 21-05-48","Joao Gabriel","1:37.232","TESTING","Daytona","Dry"
"66.46","3.15","96.41","92.8","297.98","20","96.85","7","Dallara P217 LMP2","2025-01-10 21-07-24","Joao Gabriel","1:36.414","TESTING","Daytona","Dry"
"63.3","3.16","96.62","93.91","299.51","20","96.86","8","Dallara P217 LMP2","2025-01-10 21-09-01","Joao Gabriel","1:36.619","TESTING","Daytona","Dry"
"60.17","3.14","96.77","94.39","297.52","20","96.09","9","Dallara P217 LMP2","2025-01-10 21-10-38","Joao Gabriel","1:36.769","TESTING","Daytona","Dry"
"69.57","3.16","96.54","90.47","297.38","20","96.63","11","Dallara P217 LMP2","2025-01-10 21-40-18","Joao Gabriel","1:36.539","TESTING","Daytona","Dry"
"69.53","3.15","97.31","89.9","297.09","20","96.38","13","Dallara P217 LMP2","2025-01-10 21-55-12","Joao Gabriel","1:37.313","TESTING","Daytona","Dry"
"69.59","3.12","96.91","90.1","300.89","20","96.46","16","Dallara P217 LMP2","2025-01-10 22-02-40","Joao Gabriel","1:36.913","TESTING","Daytona","Dry"
"66.42","3.17","96.35","92.98","296.93","20","96.81","17","Dallara P217 LMP2","2025-01-10 22-04-17","Joao Gabriel","1:36.347","TESTING","Daytona","Dry"
"63.28","3.14","96.55","94.05","296.82","20","96.53","18","Dallara P217 LMP2","2025-01-10 22-05-53","Joao Gabriel","1:36.548","TESTING","Daytona","Dry"
"69.56","3.15","97.11","90.56","297.10","20","96.36","21","Dallara P217 LMP2","2025-01-10 22-17-53","Joao Gabriel","1:37.108","TESTING","Daytona","Dry"
"66.42","3.14","96.58","93.18","297.19","20","96.4","22","Dallara P217 LMP2","2025-01-10 22-19-30","Joao Gabriel","1:36.576","TESTING","Daytona","Dry"
"69.48","3.11","99.20","92.77","296.85","20","95.16","24","Dallara P217 LMP2","2025-01-10 22-48-55","Joao Gabriel","1:39.203","TESTING","Daytona","Dry"
"69.74","3.01","96.90","90.36","297.35","20","91.9","26","Dallara P217 LMP2","2025-01-10 23-01-17","Joao Gabriel","1:36.901","TESTING","Daytona","Dry"
"69.57","3.14","97.22","90.47","297.23","20","96.12","28","Dallara P217 LMP2","2025-01-10 23-14-50","Joao Gabriel","1:37.219","TESTING","Daytona","Dry"
"66.5","3.07","96.32","92.85","296.86","20","93.28","29","Dallara P217 LMP2","2025-01-10 23-16-27","Joao Gabriel","1:36.322","TESTING","Daytona","Dry"
"69.47","3.21","104.17","88.52","281.87","16.67","97.26","31","Dallara P217 LMP2","2025-01-11 16-58-42","Joao Gabriel","1:44.171","TESTING","Daytona","Very Lightly Wet"
"69.38","3.26","102.52","89.09","282.34","16.67","98.08","33","Dallara P217 LMP2","2025-01-11 17-03-22","Joao Gabriel","1:42.517","TESTING","Daytona","Very Lightly Wet"
"69.35","3.24","102.35","89.94","282.55","16.67","97.77","35","Dallara P217 LMP2","2025-01-11 17-11-30","Joao Gabriel","1:42.351","TESTING","Daytona","Very Lightly Wet"
"66.18","3.16","103.88","91.18","281.57","16.67","93.8","36","Dallara P217 LMP2","2025-01-11 17-13-14","Joao Gabriel","1:43.876","TESTING","Daytona","Very Lightly Wet"
"69.43","3.23","102.26","89.53","282.21","16.67","97.57","38","Dallara P217 LMP2","2025-01-11 17-17-06","Joao Gabriel","1:42.256","TESTING","Daytona","Very Lightly Wet"
"69.44","3.23","102.35","89.26","282.27","16.67","97.43","40","Dallara P217 LMP2","2025-01-11 17-23-05","Joao Gabriel","1:42.35","TESTING","Daytona","Very Lightly Wet"
